,Number of Insured,Number of Uninsured,State,Race,RACECAT,IPRCAT,Income Poverty Ratio,Age Range,AGECAT,Sex,SEXCAT,Year,state
55,79429,31368,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
56,95170,36981,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
57,55482,22017,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
58,126554,45262,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
59,71072,23245,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
60,80369,29080,Alabama,Hispanic (any race),3,0,All Incomes,Under 65 years,0,Male Only,1,2020,01
61,38110,17390,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,Under 65 years,0,Male Only,1,2020,01
62,46274,20908,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,Under 65 years,0,Male Only,1,2020,01
63,26152,11756,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,Under 65 years,0,Male Only,1,2020,01
64,62676,26186,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
65,36524,14430,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
66,78906,20678,Alabama,Hispanic (any race),3,0,All Incomes,Under 65 years,0,Female Only,2,2020,01
67,41319,13978,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,Under 65 years,0,Female Only,2,2020,01
68,48896,16073,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,Under 65 years,0,Female Only,2,2020,01
69,29330,10261,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,Under 65 years,0,Female Only,2,2020,01
70,63878,19076,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
71,34548,8815,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
72,2424477,424832,Alabama,All Races,0,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,01
73,644633,233428,Alabama,All Races,0,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
74,841190,278649,Alabama,All Races,0,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
75,407272,164003,Alabama,All Races,0,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
76,1402210,361432,Alabama,All Races,0,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
77,994938,197429,Alabama,All Races,0,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
78,1142944,232654,Alabama,All Races,0,0,All Incomes,18 to 64 years,1,Male Only,1,2020,01
79,262774,117868,Alabama,All Races,0,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,01
80,353386,144168,Alabama,All Races,0,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,01
81,156682,79008,Alabama,All Races,0,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,01
82,626124,194145,Alabama,All Races,0,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
83,469442,115137,Alabama,All Races,0,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
84,1281533,192178,Alabama,All Races,0,0,All Incomes,18 to 64 years,1,Female Only,2,2020,01
85,381859,115560,Alabama,All Races,0,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,01
86,487804,134481,Alabama,All Races,0,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,01
87,250590,84995,Alabama,All Races,0,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,01
88,776086,167287,Alabama,All Races,0,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
89,525496,82292,Alabama,All Races,0,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
90,1639467,233405,Alabama,"White alone, not Hispanic",1,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,01
91,340196,118255,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
92,458412,143111,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
93,207598,81842,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
94,833626,191551,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
95,626028,109709,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
96,799690,125877,Alabama,"White alone, not Hispanic",1,0,All Incomes,18 to 64 years,1,Male Only,1,2020,01
97,146493,58255,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,01
98,202616,72162,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,01
99,84757,38484,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,01
100,387657,100802,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
101,302900,62318,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
102,839777,107528,Alabama,"White alone, not Hispanic",1,0,All Incomes,18 to 64 years,1,Female Only,2,2020,01
103,193703,60000,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,01
104,255796,70949,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,01
105,122841,43358,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,01
106,445969,90749,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
107,323128,47391,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
108,614694,128338,Alabama,"Black alone, not Hispanic",2,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,01
109,250187,77859,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
110,313053,91338,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
111,165011,56160,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
112,459801,114195,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
113,294790,58035,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
114,261745,70218,Alabama,"Black alone, not Hispanic",2,0,All Incomes,18 to 64 years,1,Male Only,1,2020,01
115,92850,39184,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,01
116,119742,47269,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,01
117,57651,26885,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,01
118,188090,61413,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
119,130439,34528,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
120,352949,58120,Alabama,"Black alone, not Hispanic",2,0,All Incomes,18 to 64 years,1,Female Only,2,2020,01
121,157337,38675,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,01
122,193311,44069,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,01
123,107360,29275,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,01
124,271711,52782,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
125,164351,23507,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
126,77742,44203,Alabama,Hispanic (any race),3,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,01
127,27954,27485,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
128,36458,32599,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
129,17253,19118,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
130,55068,40081,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
131,37815,20963,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,01
132,39049,26067,Alabama,Hispanic (any race),3,0,All Incomes,18 to 64 years,1,Male Only,1,2020,01
133,12338,15295,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,01
134,16768,18541,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,01
135,7117,10201,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,01
136,26649,23379,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
137,19532,13178,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,01
138,38693,18136,Alabama,Hispanic (any race),3,0,All Incomes,18 to 64 years,1,Female Only,2,2020,01
139,15616,12190,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,01
140,19690,14058,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,01
141,10136,8917,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,01
142,28419,16702,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
143,18283,7785,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,01
144,1340562,190900,Alabama,All Races,0,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,01
145,305851,103238,Alabama,All Races,0,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
146,404476,122986,Alabama,All Races,0,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
147,191499,73954,Alabama,All Races,0,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
148,696619,159660,Alabama,All Races,0,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
149,505120,85706,Alabama,All Races,0,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
150,628825,101069,Alabama,All Races,0,0,All Incomes,40 to 64 years,2,Male Only,1,2020,01
151,125082,51839,Alabama,All Races,0,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,01
152,169132,62852,Alabama,All Races,0,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,01
153,74949,36135,Alabama,All Races,0,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,01
154,307659,83465,Alabama,All Races,0,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
155,232710,47330,Alabama,All Races,0,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
156,711737,89831,Alabama,All Races,0,0,All Incomes,40 to 64 years,2,Female Only,2,2020,01
157,180769,51399,Alabama,All Races,0,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,01
158,235344,60134,Alabama,All Races,0,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,01
159,116550,37819,Alabama,All Races,0,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,01
160,388960,76195,Alabama,All Races,0,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
161,272410,38376,Alabama,All Races,0,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
162,938931,111457,Alabama,"White alone, not Hispanic",1,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,01
163,167898,56086,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
164,228025,67556,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
165,101549,39874,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
166,425994,90245,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
167,324445,50371,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
168,455353,58628,Alabama,"White alone, not Hispanic",1,0,All Incomes,40 to 64 years,2,Male Only,1,2020,01
169,72125,27657,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,01
170,100460,34046,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,01
171,41409,19014,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,01
172,196516,46768,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
173,155107,27754,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
174,483578,52829,Alabama,"White alone, not Hispanic",1,0,All Incomes,40 to 64 years,2,Female Only,2,2020,01
175,95773,28429,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,01
176,127565,33510,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,01
177,60140,20860,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,01
178,229478,43477,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
179,169338,22617,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
180,322779,53640,Alabama,"Black alone, not Hispanic",2,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,01
181,117358,32639,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
182,149218,38059,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
183,77334,24170,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
184,226402,47245,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
185,149068,23075,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
186,135652,27696,Alabama,"Black alone, not Hispanic",2,0,All Incomes,40 to 64 years,2,Male Only,1,2020,01
187,43659,16128,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,01
188,56261,19035,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,01
189,27993,11800,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,01
190,90536,24079,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
191,62543,12279,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
192,187127,25944,Alabama,"Black alone, not Hispanic",2,0,All Incomes,40 to 64 years,2,Female Only,2,2020,01
193,73699,16511,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,01
194,92957,19024,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,01
195,49341,12370,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,01
196,135866,23166,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
197,86525,10796,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
198,33910,18027,Alabama,Hispanic (any race),3,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,01
199,9906,10641,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
200,13364,12804,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
201,5729,7160,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
202,21156,15969,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
203,15427,8809,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,01
204,17472,10552,Alabama,Hispanic (any race),3,0,All Incomes,40 to 64 years,2,Male Only,1,2020,01
205,4820,5997,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,01
206,6591,7323,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,01
207,2682,3881,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,01
208,10698,9288,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
209,8016,5407,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,01
210,16438,7475,Alabama,Hispanic (any race),3,0,All Incomes,40 to 64 years,2,Female Only,2,2020,01
211,5086,4644,Alabama,Hispanic (any race),3,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,01
212,6773,5481,Alabama,Hispanic (any race),3,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,01
213,3047,3279,Alabama,Hispanic (any race),3,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,01
214,10458,6681,Alabama,Hispanic (any race),3,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
215,7411,3402,Alabama,Hispanic (any race),3,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,01
216,842335,101844,Alabama,All Races,0,0,All Incomes,50 to 64 years,3,Both Sexes,0,2020,01
217,200434,54606,Alabama,All Races,0,1,<= 200% of Poverty,50 to 64 years,3,Both Sexes,0,2020,01
218,260002,64412,Alabama,All Races,0,2,<= 250% of Poverty,50 to 64 years,3,Both Sexes,0,2020,01
219,128515,39860,Alabama,All Races,0,3,<= 138% of Poverty,50 to 64 years,3,Both Sexes,0,2020,01
220,432229,83772,Alabama,All Races,0,4,<= 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,01
221,303714,43912,Alabama,All Races,0,5,138% to 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,01
222,395404,53054,Alabama,All Races,0,0,All Incomes,50 to 64 years,3,Male Only,1,2020,01
223,82006,27302,Alabama,All Races,0,1,<= 200% of Poverty,50 to 64 years,3,Male Only,1,2020,01
224,107714,32566,Alabama,All Races,0,2,<= 250% of Poverty,50 to 64 years,3,Male Only,1,2020,01
225,50516,19570,Alabama,All Races,0,3,<= 138% of Poverty,50 to 64 years,3,Male Only,1,2020,01
226,188437,43089,Alabama,All Races,0,4,<= 400% of Poverty,50 to 64 years,3,Male Only,1,2020,01
227,137921,23519,Alabama,All Races,0,5,138% to 400% of Poverty,50 to 64 years,3,Male Only,1,2020,01
228,446931,48790,Alabama,All Races,0,0,All Incomes,50 to 64 years,3,Female Only,2,2020,01
229,118428,27304,Alabama,All Races,0,1,<= 200% of Poverty,50 to 64 years,3,Female Only,2,2020,01
230,152288,31846,Alabama,All Races,0,2,<= 250% of Poverty,50 to 64 years,3,Female Only,2,2020,01
231,77999,20290,Alabama,All Races,0,3,<= 138% of Poverty,50 to 64 years,3,Female Only,2,2020,01
232,243792,40683,Alabama,All Races,0,4,<= 400% of Poverty,50 to 64 years,3,Female Only,2,2020,01
233,165793,20393,Alabama,All Races,0,5,138% to 400% of Poverty,50 to 64 years,3,Female Only,2,2020,01
234,602510,62357,Alabama,"White alone, not Hispanic",1,0,All Incomes,50 to 64 years,3,Both Sexes,0,2020,01
